flow	key	kind	english	czech_current	czech_native
27 · Categories · subcategory	category.Action Cameras	string	Action Cameras	Akční kamery	
27 · Categories · subcategory	category.Adaptive Bikes	string	Adaptive Bikes	Adaptivní kola	
27 · Categories · subcategory	category.Air Compressors	string	Air Compressors	Kompresory	
27 · Categories · subcategory	category.Amplifiers	string	Amplifiers	Zesilovače	
27 · Categories · subcategory	category.Animatronic Props	string	Animatronic Props	Animatronické rekvizity	
27 · Categories · subcategory	category.Art & Sculpture	string	Art & Sculpture	Umění a sochy	
27 · Categories · subcategory	category.ATVs	string	ATVs	Čtyřkolky	
27 · Categories · subcategory	category.Baby Carriers	string	Baby Carriers	Nosiče dětí	
27 · Categories · subcategory	category.Backpacks	string	Backpacks	Batohy	
27 · Categories · subcategory	category.Backyard & Outdoor	string	Backyard & Outdoor	Zahrada a outdoor	
27 · Categories · subcategory	category.Baking Equipment	string	Baking Equipment	Pečení	
27 · Categories · subcategory	category.Base Camp Equipment	string	Base Camp Equipment	Základnové vybavení	
27 · Categories · subcategory	category.Basic Lighting	string	Basic Lighting	Základní osvětlení	
27 · Categories · subcategory	category.Beverage Systems	string	Beverage Systems	Nápojové systémy	
27 · Categories · subcategory	category.Blenders & Juicers	string	Blenders & Juicers	Mixéry a odšťavňovače	
27 · Categories · subcategory	category.Boxing Equipment	string	Boxing Equipment	Boxerské vybavení	
27 · Categories · subcategory	category.Broadcast Equipment	string	Broadcast Equipment	Vysílací vybavení	
27 · Categories · subcategory	category.Broadcast Gear	string	Broadcast Gear	Vysílací technika	
27 · Categories · subcategory	category.Camera Kits	string	Camera Kits	Foto sety	
27 · Categories · subcategory	category.Camp Cooking	string	Camp Cooking	Kempové vaření	
27 · Categories · subcategory	category.Car Seats	string	Car Seats	Autosedačky	
27 · Categories · subcategory	category.Cardio Equipment	string	Cardio Equipment	Kardio vybavení	
27 · Categories · subcategory	category.Cargo Bikes	string	Cargo Bikes	Nákladní kola	
27 · Categories · subcategory	category.Cargo Vans	string	Cargo Vans	Dodávky	
27 · Categories · subcategory	category.Cars & Trucks	string	Cars & Trucks	Auta a náklaďáky	
27 · Categories · subcategory	category.Catering Equipment	string	Catering Equipment	Cateringové vybavení	
27 · Categories · subcategory	category.Character Costumes	string	Character Costumes	Kostýmy postav	
27 · Categories · subcategory	category.Charter Vessels	string	Charter Vessels	Charterové lodě	
27 · Categories · subcategory	category.Childcare Equipment	string	Childcare Equipment	Vybavení pro péči o děti	
27 · Categories · subcategory	category.Cinema Cameras	string	Cinema Cameras	Filmové kamery	
27 · Categories · subcategory	category.Cleaning Appliances	string	Cleaning Appliances	Úklidové spotřebiče	
27 · Categories · subcategory	category.Coaching Equipment	string	Coaching Equipment	Trenérské vybavení	
27 · Categories · subcategory	category.Coffee Makers	string	Coffee Makers	Kávovary	
27 · Categories · subcategory	category.Collectibles	string	Collectibles	Sbírkové předměty	
27 · Categories · subcategory	category.Commercial Coffee	string	Commercial Coffee	Komerční kávovary	
27 · Categories · subcategory	category.Commercial Copiers	string	Commercial Copiers	Komerční kopírky	
27 · Categories · subcategory	category.Commercial Fishing	string	Commercial Fishing	Komerční rybolov	
27 · Categories · subcategory	category.Commercial Play Equipment	string	Commercial Play Equipment	Komerční herní vybavení	
27 · Categories · subcategory	category.Commercial Space	string	Commercial Space	Komerční prostor	
27 · Categories · subcategory	category.Commercial Treadmills	string	Commercial Treadmills	Komerční běžecké pásy	
27 · Categories · subcategory	category.Commercial Trucks	string	Commercial Trucks	Užitkové náklaďáky	
27 · Categories · subcategory	category.Competition Gear	string	Competition Gear	Závodní vybavení	
27 · Categories · subcategory	category.Concrete Mixers	string	Concrete Mixers	Míchačky betonu	
27 · Categories · subcategory	category.Conference Systems	string	Conference Systems	Konferenční systémy	
27 · Categories · subcategory	category.Crane & Lifting	string	Crane & Lifting	Jeřáby a zvedání	
27 · Categories · subcategory	category.Cribs & Beds	string	Cribs & Beds	Postýlky a postele	
27 · Categories · subcategory	category.Cruisers	string	Cruisers	Cruisery	
27 · Categories · subcategory	category.Custom Builds	string	Custom Builds	Zakázkové stavby	
27 · Categories · subcategory	category.Display Systems	string	Display Systems	Zobrazovací systémy	
27 · Categories · subcategory	category.Dive Boats	string	Dive Boats	Potápěčské lodě	
27 · Categories · subcategory	category.Drones	string	Drones	Drony	
27 · Categories · subcategory	category.Drums	string	Drums	Bicí	
27 · Categories · subcategory	category.E-Bikes Pro	string	E-Bikes Pro	Pro e-kola	
27 · Categories · subcategory	category.Educational Tools	string	Educational Tools	Vzdělávací pomůcky	
27 · Categories · subcategory	category.Electric Scooters	string	Electric Scooters	Elektrické koloběžky	
27 · Categories · subcategory	category.Equipment Trailers	string	Equipment Trailers	Přívěsy na techniku	
27 · Categories · subcategory	category.Event Lighting	string	Event Lighting	Eventové osvětlení	
27 · Categories · subcategory	category.Event Venues	string	Event Venues	Eventové prostory	
