flow	key	kind	english	czech_current	czech_native
00 · Brand	tagline	string	Neighborly marketplace — every home is a business cell.	Sousedský trh — každý dům je obchodní buňka.	
00 · Brand	taglineShort	string	Neighborly marketplace.	Sousedský trh.	
00 · Brand / mode switch	modes.earn	string	My Garage	Moje garáž	
00 · Brand / mode switch	modes.rent	string	Browse	Procházet	
01 · Shared UI	common.back	string	Back	Zpět	
01 · Shared UI	common.cancel	string	Cancel	Zrušit	
01 · Shared UI	common.close	string	Close	Zavřít	
01 · Shared UI	common.continue	string	Continue →	Pokračovat →	
01 · Shared UI	common.edit	string	Edit	Upravit	
01 · Shared UI	common.loading	string	Loading…	Načítání…	
01 · Shared UI	common.next	string	Next	Další	
01 · Shared UI	common.save	string	Save	Uložit	
01 · Shared UI	common.send	string	Send	Odeslat	
01 · Shared UI	common.signIn	string	Sign in	Přihlásit se	
01 · Shared UI	common.skip	string	Skip	Přeskočit	
01 · Shared UI · bottom nav	nav.garage	string	Garage	Garáž	
01 · Shared UI · bottom nav	nav.home	string	Home	Domů	
01 · Shared UI · bottom nav	nav.more	string	Account	Účet	
01 · Shared UI · bottom nav	nav.stock	string	Stock	Přidat	
01 · Shared UI · location	geo.errors.denied	string	Location access is blocked for this site. After moving to app.evorios.com you may need to allow location again in browser or iOS Settings, or enter your ZIP manually.	Přístup k poloze je pro tento web zablokovaný. Po přesunu na app.evorios.com možná budete muset polohu znovu povolit v prohlížeči nebo v nastavení iOS, nebo zadejte PSČ ručně.	
01 · Shared UI · location	geo.errors.timeout	string	Location timed out. Check GPS/Wi‑Fi or enter your ZIP or city manually.	Vypršel čas na zjištění polohy. Zkontrolujte GPS/Wi‑Fi nebo zadejte PSČ či město ručně.	
01 · Shared UI · location	geo.errors.unavailable	string	Location is temporarily unavailable. Enter your ZIP or city manually.	Poloha je dočasně nedostupná. Zadejte PSČ nebo město ručně.	
01 · Shared UI · location	geo.errors.unknown	string	We couldn't detect your location. Enter your ZIP or city manually.	Polohu se nepodařilo zjistit. Zadejte PSČ nebo město ručně.	
01 · Shared UI · location	geo.errors.unsupported	string	Open the app via https:// (not http://), or enter your ZIP or city manually.	Otevřete aplikaci přes https:// (ne http://), nebo zadejte PSČ či město ručně.	
01 · Shared UI · location	geo.yourArea	string	Your area	Vaše okolí	
01 · Shared UI · system	systemUi.browseYardSales	string	Browse yard sales	Procházet výprodeje	
01 · Shared UI · system	systemUi.errorBody	string	Please reload. If it keeps happening, email support@evorios.com.	Znovu načtěte stránku. Pokud to trvá, napište na support@evorios.com.	
01 · Shared UI · system	systemUi.errorTitle	string	Something went wrong	Něco se pokazilo	
01 · Shared UI · system	systemUi.garageMissingBody()	fn	This garage link may be outdated or the host removed their showcase. Browse other yard sales on {{1}}.	Tento odkaz na garáž může být zastaralý, nebo hostitel vitrínu odstranil. Procházejte jiné výprodeje na {{1}}.	
01 · Shared UI · system	systemUi.garageMissingTitle	string	Garage not found	Garáž nenalezena	
01 · Shared UI · system	systemUi.goBack	string	Go back	Zpět	
01 · Shared UI · system	systemUi.offlineBody()	fn	{{1}} needs a connection. Check Wi‑Fi or mobile data and try again.	{{1}} potřebuje připojení. Zkontrolujte Wi‑Fi nebo mobilní data a zkuste to znovu.	
01 · Shared UI · system	systemUi.offlineTitle	string	You're offline	Jste offline	
01 · Shared UI · system	systemUi.reloadApp	string	Reload app	Znovu načíst aplikaci	
01 · Shared UI · system	systemUi.resetConfirm	string	Reset all app data? Onboarding, profile, listings, and rentals will be cleared.	Resetovat všechna data aplikace? Onboarding, profil, nabídky i půjčky budou vymazány.	
01 · Shared UI · system	systemUi.resetLocalData	string	Reset local data & reload	Resetovat místní data a znovu načíst	
01 · Shared UI · system	systemUi.setupSupportAfter	string	.	.	
01 · Shared UI · system	systemUi.setupSupportBefore	string	If this keeps happening, email 	Pokud to trvá, napište na 	
01 · Shared UI · system	systemUi.setupTitle	string	We'll be right back	Hned jsme zpět	
01 · Shared UI · system	systemUi.tryAgain	string	Try again	Zkusit znovu	
02 · Splash	splash.chipBlock	string	On the block	Na bloku	
02 · Splash	splash.chipGarage	string	Your storefront	Vaše výloha	
03 · Onboarding	onboarding.allSet.exploreCta	string	Go to Home →	Přejít Domů →	
03 · Onboarding	onboarding.allSet.stockGarageCta	string	Open My Garage →	Otevřít Moji garáž →	
03 · Onboarding	onboarding.allSet.subtitle	string	My Garage is your storefront toolkit. Home is how you browse the block.	Moje garáž je toolkit výlohy. Domů je procházení bloku.	
03 · Onboarding	onboarding.allSet.title	string	You're all set!	Hotovo!	
03 · Onboarding	onboarding.browseHub.categoriesHint	string	Tools, garden plants, party gear, and more.	Nářadí, zahrada, párty a další.	
03 · Onboarding	onboarding.browseHub.categoriesTitle	string	Browse by category	Podle kategorie	
03 · Onboarding	onboarding.browseHub.findGear.cta	string	Open feed →	Otevřít feed →	
03 · Onboarding	onboarding.browseHub.findGear.subtitle	string	Items and garages near you	Věci a garáže poblíž vás	
03 · Onboarding	onboarding.browseHub.findGear.title	string	Browse the block	Procházet blok	
03 · Onboarding	onboarding.browseHub.footer	string	Stock and manage from + or My Garage.	Vystavujte a spravujte přes + nebo Moje garáž.	
03 · Onboarding	onboarding.browseHub.subtitle	string	Browse neighbors or run a sale.	Procházejte sousedy nebo spusťte výprodej.	
03 · Onboarding	onboarding.browseHub.title	string	Your block	Váš blok	
03 · Onboarding	onboarding.browseHub.trustDeposit	string	Deposit held	Záloha držena	
03 · Onboarding	onboarding.browseHub.trustModes	string	Rent · Sell · Gift	Půjčit · Prodat · Darovat	
03 · Onboarding	onboarding.browseHub.trustVerified	string	Verified hosts	Ověření hostitelé	
03 · Onboarding	onboarding.browseHub.yardSales.cta	string	Open sales →	Otevřít výprodeje →	
03 · Onboarding	onboarding.browseHub.yardSales.subtitle	string	Snap sales and auctions on your block	Výprodeje a aukce na vašem bloku	
03 · Onboarding	onboarding.browseHub.yardSales.title	string	Yard & garage sales	Garážové výprodeje	
03 · Onboarding	onboarding.firstHello.bubbles[0]	string	Hi — I'm {mascot}. Welcome to the block.	Ahoj — jsem {mascot}. Vítejte na bloku.	
03 · Onboarding	onboarding.firstHello.bubbles[1]	string	Every home is a business cell — your garage is the storefront.	Každý dům je obchodní buňka — garáž je výloha.	
